,count,mean,std,min,25%,50%,75%,max
光電業,543.0,0.002805574792517468,0.02977904860986988,-0.1705735286316484,-0.010777453446340984,0.004904981724004995,0.019230238452381688,0.08733197320027639
其他,543.0,0.0022762328228127784,0.01624563488272844,-0.11989132957855521,-0.003864961468837786,0.0030201060356804723,0.01117001683227609,0.06265310574850506
化學工業,543.0,0.0025815076967572285,0.019658920111920667,-0.14010197707946548,-0.005640300864191547,0.003591656974331711,0.012982056187054752,0.06037775443556961
半導體,543.0,0.004471187303939559,0.03450301522891592,-0.1568665998820028,-0.011209562769768318,0.006562381313520992,0.02408749231471074,0.12533836492767594
居家生活,543.0,0.002177222296402241,0.019009333127509874,-0.1360413363548419,-0.006106529418442697,0.003001894712098696,0.01288907911243349,0.06972756877729548
建材營造,543.0,0.002706746945701445,0.018077599620172517,-0.11389586332119571,-0.005563835795854805,0.003090248440912857,0.011594932090643368,0.08105580031279361
數位雲端,543.0,0.0028535496463098116,0.029271269802158596,-0.1624283781186702,-0.013901540826777612,0.0019955590450325337,0.01997711807186185,0.10837365610334415
文化創意業,543.0,0.0029102274483703396,0.027871903628455968,-0.1476367190832192,-0.012437074864688933,0.0038035223053652415,0.01732866576692693,0.09531283181999611
材料,543.0,0.0017534383566290303,0.021032200341066894,-0.12759460930157754,-0.006273035606594963,0.0019625573374236114,0.012618647102754354,0.07094482856165292
汽車工業,543.0,0.0028979427032377473,0.02797129271674019,-0.1571917719506083,-0.009471124689408182,0.004115484270507826,0.017726619388709647,0.09536374910083074
油電燃氣業,543.0,0.0021517035696727808,0.010571289764515164,-0.059119422894935804,-0.0030503623048014445,0.0021724791333153637,0.007631462958660568,0.04467954885417889
生技醫療,543.0,0.0019360750941596898,0.02816388109593645,-0.16918624285282743,-0.0113081511904255,0.0019652873957713216,0.015841788971731028,0.09951883775379648
綠能環保,543.0,0.002775410949632922,0.022830504383514798,-0.12256148851849848,-0.008752482255989338,0.0030154203122039493,0.014893909695259343,0.09733510762394988
航運業,543.0,0.0031258813134762997,0.03286746571125553,-0.14728834902417853,-0.009692815800042252,0.0012211338341794867,0.015356008608052207,0.3028669598746211
觀光餐旅,543.0,0.0018789863304225554,0.02478612730544137,-0.10336324717971748,-0.010101617523037305,0.0009624141955307153,0.011834756769754939,0.14202931586203763
資訊服務業,543.0,0.004045353124398411,0.022031337530998858,-0.11716152162297011,-0.0067414506751754975,0.00488839214119133,0.016552469851892675,0.07897289336043282
通信網路業,543.0,0.0030641478913774893,0.027439715944016854,-0.13596967908899077,-0.009846668581693696,0.005842062350252546,0.019223810409121075,0.06899260464262039
金融業,543.0,0.002385056993228783,0.017592922915405946,-0.09138941891822219,-0.00665331142326764,0.002500902210507313,0.01223769795529973,0.0669394729567205
鋼鐵工業,543.0,0.003219981113842391,0.026311359272917903,-0.14300543348223282,-0.008890013830797914,0.002486126592394714,0.015298384686807828,0.1841212276841247
電子通路業,543.0,0.0038324403745366078,0.02155860675264056,-0.11662275799147707,-0.005912653285429079,0.005537895915092563,0.016589840018069582,0.06700642274498239
電子零組件,543.0,0.003779391830646583,0.025780081638338233,-0.15474369504546326,-0.00711394718137757,0.006500039536897096,0.018079729678681208,0.08848395373603951
電機機械,543.0,0.0029739638629152037,0.021543639738619298,-0.13562694728190988,-0.00650781917401238,0.004626990010078596,0.01564902337571994,0.0622651914469834
電腦及週邊,543.0,0.0039007044639517165,0.026331107231554716,-0.1433288726604915,-0.007818700023578309,0.006683124212859829,0.0185742710646179,0.08136081301268437
食品工業,543.0,0.0022962183886719462,0.01599115145235134,-0.0937842940772406,-0.004760280611599025,0.0029147745652749373,0.010814577136002434,0.0699650819160445
